sample	cell_line	genotype	growth	project	pmid
SRX2375307	Primary	XX	serum	PRJNA354946	28818098
SRX2375308	Primary	XX	serum	PRJNA354946	28818098
SRX2375309	Primary	XX	serum	PRJNA354946	28818098
SRX2375310	Primary	XY	serum	PRJNA354946	28818098
SRX2375311	Primary	XY	serum	PRJNA354946	28818098
SRX2375312	Primary	XY	serum	PRJNA354946	28818098
SRX2375313	Primary	XO	serum	PRJNA354946	28818098
SRX2375314	Primary	XO	serum	PRJNA354946	28818098
SRX2375315	Primary	XX	serum	PRJNA354946	28818098
SRX2375316	Primary	XX	serum	PRJNA354946	28818098
SRX2375317	Primary	XX	serum	PRJNA354946	28818098
SRX2375318	Primary	XY	serum	PRJNA354946	28818098
SRX2375319	Primary	XY	serum	PRJNA354946	28818098
SRX2375320	Primary	XY	serum	PRJNA354946	28818098
